zip_path,is_dir,size_bytes,compressed_bytes,ext,top,lvl2
WORKSPACE_LAYOUT_v1.md,False,1421,747,.md,WORKSPACE_LAYOUT_v1.md,WORKSPACE_LAYOUT_v1.md
__MACOSX/._WORKSPACE_LAYOUT_v1.md,False,163,86,.md,__MACOSX,__MACOSX/._WORKSPACE_LAYOUT_v1.md
__MACOSX/._a2_derived_indices_noncanonical,False,163,86,,__MACOSX,__MACOSX/._a2_derived_indices_noncanonical
__MACOSX/._a2_state,False,163,86,,__MACOSX,__MACOSX/._a2_state
__MACOSX/._conformance,False,163,86,,__MACOSX,__MACOSX/._conformance
__MACOSX/._public_facing_docs,False,163,86,,__MACOSX,__MACOSX/._public_facing_docs
__MACOSX/._specs,False,163,86,,__MACOSX,__MACOSX/._specs
__MACOSX/._tools,False,163,86,,__MACOSX,__MACOSX/._tools
__MACOSX/a2_derived_indices_noncanonical/._README.md,False,163,86,.md,__MACOSX,__MACOSX/a2_derived_indices_noncanonical
__MACOSX/a2_derived_indices_noncanonical/._brain_manifest.yaml,False,163,86,.yaml,__MACOSX,__MACOSX/a2_derived_indices_noncanonical
__MACOSX/a2_derived_indices_noncanonical/._contradictions.yaml,False,163,86,.yaml,__MACOSX,__MACOSX/a2_derived_indices_noncanonical
__MACOSX/a2_derived_indices_noncanonical/._decisions.yaml,False,163,86,.yaml,__MACOSX,__MACOSX/a2_derived_indices_noncanonical
__MACOSX/a2_derived_indices_noncanonical/._memory_log.000.jsonl,False,163,86,.jsonl,__MACOSX,__MACOSX/a2_derived_indices_noncanonical
__MACOSX/a2_derived_indices_noncanonical/._pending_actions.yaml,False,163,86,.yaml,__MACOSX,__MACOSX/a2_derived_indices_noncanonical
__MACOSX/a2_derived_indices_noncanonical/._thread_seals.000.jsonl,False,163,86,.jsonl,__MACOSX,__MACOSX/a2_derived_indices_noncanonical
__MACOSX/a2_state/._INTENT_SUMMARY.md,False,269,163,.md,__MACOSX,__MACOSX/a2_state
__MACOSX/a2_state/._MODEL_CONTEXT.md,False,269,163,.md,__MACOSX,__MACOSX/a2_state
__MACOSX/a2_state/._constraint_surface.json,False,163,86,.json,__MACOSX,__MACOSX/a2_state
__MACOSX/a2_state/._doc_index.json,False,163,86,.json,__MACOSX,__MACOSX/a2_state
__MACOSX/a2_state/._fuel_queue.json,False,163,86,.json,__MACOSX,__MACOSX/a2_state
__MACOSX/a2_state/._memory.jsonl,False,163,86,.jsonl,__MACOSX,__MACOSX/a2_state
__MACOSX/a2_state/._rosetta.json,False,163,86,.json,__MACOSX,__MACOSX/a2_state
__MACOSX/conformance/._.DS_Store,False,120,53,.ds_store,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/._fixtures_v1,False,163,86,,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/fixtures_v1/._.DS_Store,False,120,53,.ds_store,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/fixtures_v1/._README.md,False,163,86,.md,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/fixtures_v1/._expected_outcomes.json,False,163,86,.json,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/fixtures_v1/._fixtures,False,163,86,,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/fixtures_v1/._manifest.json,False,163,86,.json,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/fixtures_v1/._observed_results.template.json,False,163,86,.json,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/fixtures_v1/fixtures/._FIX_DEP_001_FORWARD_REFERENCE_PARK.txt,False,163,86,.txt,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/fixtures_v1/fixtures/._FIX_DERIVED_001_PRIMITIVE_USE_REJECT.txt,False,163,86,.txt,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/fixtures_v1/fixtures/._FIX_EVID_001_PASS_EXISTING_PENDING_TOKEN.txt,False,163,86,.txt,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/fixtures_v1/fixtures/._FIX_EVID_002_REJECT_UNKNOWN_TARGET.txt,False,163,86,.txt,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/fixtures_v1/fixtures/._FIX_FORMULA_001_GLYPH_REJECT.txt,False,163,86,.txt,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/fixtures_v1/fixtures/._FIX_LEX_001_UNDEFINED_COMPONENT_PARK.txt,False,163,86,.txt,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/fixtures_v1/fixtures/._FIX_MSG_001_PASS_COMMAND_REPORT_STATE.txt,False,163,86,.txt,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/fixtures_v1/fixtures/._FIX_MSG_002_REJECT_PROSE_PLUS_COMMAND.txt,False,163,86,.txt,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/fixtures_v1/fixtures/._FIX_NEAR_001_PARK_NEAR_DUPLICATE.txt,False,163,86,.txt,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/fixtures_v1/fixtures/._FIX_PROBE_001_PRESSURE_PARK.txt,False,163,86,.txt,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/fixtures_v1/fixtures/._FIX_SCHEMA_001_BAD_EXPORT_HEADER_REJECT.txt,False,163,86,.txt,__MACOSX,__MACOSX/conformance
__MACOSX/conformance/fixtures_v1/fixtures/._FIX_UNDEF_001_TERM_REJECT.txt,False,163,86,.txt,__MACOSX,__MACOSX/conformance
__MACOSX/public_facing_docs/._00_PUBLIC_FACING_SYSTEM_INTENT_AND_CONSTRAINTS_ON_INTERPRETATION_v1.md,False,163,86,.md,__MACOSX,__MACOSX/public_facing_docs
__MACOSX/public_facing_docs/._01_PUBLIC_FACING_LAYERED_ARCHITECTURE_AND_ENTROPY_BOUNDARY_v1.md,False,163,86,.md,__MACOSX,__MACOSX/public_facing_docs
__MACOSX/public_facing_docs/._02_PUBLIC_FACING_FLOWMIND_A3_HOSTING_INTERFACE_CONTRACT_v1.md,False,163,86,.md,__MACOSX,__MACOSX/public_facing_docs
__MACOSX/specs/._.DS_Store,False,120,53,.ds_store,__MACOSX,__MACOSX/specs
__MACOSX/specs/._00_MANIFEST.md,False,269,157,.md,__MACOSX,__MACOSX/specs
__MACOSX/specs/._01_REQUIREMENTS_LEDGER.md,False,269,158,.md,__MACOSX,__MACOSX/specs
__MACOSX/specs/._02_OWNERSHIP_MAP.md,False,269,157,.md,__MACOSX,__MACOSX/specs
__MACOSX/specs/._03_B_KERNEL_SPEC.md,False,269,157,.md,__MACOSX,__MACOSX/specs
__MACOSX/specs/._04_A0_COMPILER_SPEC.md,False,163,86,.md,__MACOSX,__MACOSX/specs
__MACOSX/specs/._05_A1_STRATEGY_AND_REPAIR_SPEC.md,False,163,86,.md,__MACOSX,__MACOSX/specs
__MACOSX/specs/._06_SIM_EVIDENCE_AND_TIERS_SPEC.md,False,163,86,.md,__MACOSX,__MACOSX/specs
__MACOSX/specs/._07_A2_OPERATIONS_SPEC.md,False,163,86,.md,__MACOSX,__MACOSX/specs
__MACOSX/specs/._08_PIPELINE_AND_STATE_FLOW_SPEC.md,False,163,86,.md,__MACOSX,__MACOSX/specs
__MACOSX/specs/._09_CONFORMANCE_AND_REDUNDANCY_GATES.md,False,163,86,.md,__MACOSX,__MACOSX/specs
__MACOSX/specs/._10_INITIAL_AUDIT_REPORT.md,False,163,86,.md,__MACOSX,__MACOSX/specs
__MACOSX/specs/._11_MIGRATION_HANDOFF_SPEC.md,False,163,86,.md,__MACOSX,__MACOSX/specs
__MACOSX/specs/._12_BOOTPACK_SYNC_AUDIT_SPEC.md,False,163,86,.md,__MACOSX,__MACOSX/specs
__MACOSX/specs/._13_CONTENT_REDUNDANCY_LINT_SPEC.md,False,163,86,.md,__MACOSX,__MACOSX/specs
__MACOSX/specs/._14_A_THREAD_BOOTPACK_PROJECTION.md,False,163,86,.md,__MACOSX,__MACOSX/specs
__MACOSX/specs/._15_ROSETTA_AND_MINING_ARTIFACTS.md,False,163,86,.md,__MACOSX,__MACOSX/specs
__MACOSX/specs/._16_ZIP_SAVE_AND_TAPES_SPEC.md,False,163,86,.md,__MACOSX,__MACOSX/specs
