handle	h0	h1	p	o
src-1858a5f7dbbb248f	0	0	1	1
src-1858a5f7dbbb248f	0	0	1	1
src-1858a5f7dbbb248f	0	0	1	1
src-1858a5f7dbbb248f	0	1	0	1
src-1858a5f7dbbb248f	0	1	1	1
src-1858a5f7dbbb248f	0	1	1	1
src-1858a5f7dbbb248f	1	0	1	0
src-1858a5f7dbbb248f	1	0	1	0
src-1858a5f7dbbb248f	1	0	1	0
src-1858a5f7dbbb248f	1	1	1	0
src-1858a5f7dbbb248f	1	1	1	0
src-1858a5f7dbbb248f	1	1	1	0
src-5cb0baaed60f7057	0	0	0	0
src-5cb0baaed60f7057	0	0	0	0
src-5cb0baaed60f7057	0	0	0	0
src-5cb0baaed60f7057	0	0	0	0
src-5cb0baaed60f7057	0	0	0	0
src-5cb0baaed60f7057	0	0	0	0
src-5cb0baaed60f7057	0	0	0	0
src-5cb0baaed60f7057	0	0	0	0
src-5cb0baaed60f7057	0	0	1	0
src-5cb0baaed60f7057	0	0	1	0
src-5cb0baaed60f7057	0	0	1	0
src-5cb0baaed60f7057	0	0	1	0
src-5cb0baaed60f7057	0	0	1	0
src-5cb0baaed60f7057	0	0	1	0
src-5cb0baaed60f7057	0	0	1	0
src-5cb0baaed60f7057	0	0	1	0
src-5cb0baaed60f7057	0	0	0	1
src-5cb0baaed60f7057	0	0	0	1
src-5cb0baaed60f7057	0	0	0	1
src-5cb0baaed60f7057	0	0	0	1
src-5cb0baaed60f7057	0	0	0	1
src-5cb0baaed60f7057	0	0	0	1
src-5cb0baaed60f7057	0	0	0	1
src-5cb0baaed60f7057	0	0	0	1
src-5cb0baaed60f7057	0	0	1	1
src-5cb0baaed60f7057	0	0	1	1
src-5cb0baaed60f7057	0	0	1	1
src-5cb0baaed60f7057	0	0	1	1
src-5cb0baaed60f7057	0	0	1	1
src-5cb0baaed60f7057	0	0	1	1
src-5cb0baaed60f7057	0	0	1	1
src-5cb0baaed60f7057	0	0	1	1
src-5cb0baaed60f7057	0	1	0	1
src-5cb0baaed60f7057	0	1	0	1
src-5cb0baaed60f7057	0	1	0	1
src-5cb0baaed60f7057	0	1	0	1
src-5cb0baaed60f7057	0	1	0	1
src-5cb0baaed60f7057	0	1	0	1
src-5cb0baaed60f7057	0	1	0	1
src-5cb0baaed60f7057	0	1	0	1
src-5cb0baaed60f7057	0	1	1	1
src-5cb0baaed60f7057	0	1	1	1
src-5cb0baaed60f7057	0	1	1	1
src-5cb0baaed60f7057	0	1	1	1
src-5cb0baaed60f7057	0	1	1	1
src-5cb0baaed60f7057	0	1	1	1
src-5cb0baaed60f7057	0	1	1	1
src-5cb0baaed60f7057	0	1	1	1
src-5cb0baaed60f7057	1	0	0	0
src-5cb0baaed60f7057	1	0	0	0
src-5cb0baaed60f7057	1	0	0	0
src-5cb0baaed60f7057	1	0	0	0
src-5cb0baaed60f7057	1	0	0	0
src-5cb0baaed60f7057	1	0	0	0
src-5cb0baaed60f7057	1	0	0	0
src-5cb0baaed60f7057	1	0	0	0
src-5cb0baaed60f7057	1	0	1	0
src-5cb0baaed60f7057	1	0	1	0
src-5cb0baaed60f7057	1	0	1	0
src-5cb0baaed60f7057	1	0	1	0
src-5cb0baaed60f7057	1	0	1	0
src-5cb0baaed60f7057	1	0	1	0
src-5cb0baaed60f7057	1	0	1	0
src-5cb0baaed60f7057	1	0	1	0
src-5cb0baaed60f7057	1	0	0	1
src-5cb0baaed60f7057	1	0	0	1
src-5cb0baaed60f7057	1	0	0	1
src-5cb0baaed60f7057	1	0	0	1
src-5cb0baaed60f7057	1	0	0	1
src-5cb0baaed60f7057	1	0	0	1
src-5cb0baaed60f7057	1	0	0	1
src-5cb0baaed60f7057	1	0	0	1
src-5cb0baaed60f7057	1	0	1	1
src-5cb0baaed60f7057	1	0	1	1
src-5cb0baaed60f7057	1	0	1	1
src-5cb0baaed60f7057	1	0	1	1
src-5cb0baaed60f7057	1	0	1	1
src-5cb0baaed60f7057	1	0	1	1
src-5cb0baaed60f7057	1	0	1	1
src-5cb0baaed60f7057	1	0	1	1
src-5cb0baaed60f7057	1	1	0	1
src-5cb0baaed60f7057	1	1	0	1
src-5cb0baaed60f7057	1	1	0	1
src-5cb0baaed60f7057	1	1	0	1
src-5cb0baaed60f7057	1	1	0	1
src-5cb0baaed60f7057	1	1	0	1
src-5cb0baaed60f7057	1	1	0	1
src-5cb0baaed60f7057	1	1	0	1
src-5cb0baaed60f7057	1	1	1	1
src-5cb0baaed60f7057	1	1	1	1
src-5cb0baaed60f7057	1	1	1	1
src-5cb0baaed60f7057	1	1	1	1
src-5cb0baaed60f7057	1	1	1	1
src-5cb0baaed60f7057	1	1	1	1
src-5cb0baaed60f7057	1	1	1	1
src-5cb0baaed60f7057	1	1	1	1
src-9ec2675726f1c445	0	0	0	0
src-9ec2675726f1c445	0	0	0	0
src-9ec2675726f1c445	0	0	0	0
src-9ec2675726f1c445	0	0	0	0
src-9ec2675726f1c445	0	0	1	0
src-9ec2675726f1c445	0	0	1	0
src-9ec2675726f1c445	0	0	1	0
src-9ec2675726f1c445	0	0	1	0
src-9ec2675726f1c445	0	0	0	1
src-9ec2675726f1c445	0	0	0	1
src-9ec2675726f1c445	0	0	0	1
src-9ec2675726f1c445	0	0	0	1
src-9ec2675726f1c445	0	0	1	1
src-9ec2675726f1c445	0	0	1	1
src-9ec2675726f1c445	0	0	1	1
src-9ec2675726f1c445	0	0	1	1
src-9ec2675726f1c445	0	1	0	0
src-9ec2675726f1c445	0	1	0	0
src-9ec2675726f1c445	0	1	0	0
src-9ec2675726f1c445	0	1	0	0
src-9ec2675726f1c445	0	1	1	0
src-9ec2675726f1c445	0	1	1	0
src-9ec2675726f1c445	0	1	1	0
src-9ec2675726f1c445	0	1	1	0
src-9ec2675726f1c445	0	1	0	1
src-9ec2675726f1c445	0	1	0	1
src-9ec2675726f1c445	0	1	0	1
src-9ec2675726f1c445	0	1	0	1
src-9ec2675726f1c445	0	1	1	1
src-9ec2675726f1c445	0	1	1	1
src-9ec2675726f1c445	0	1	1	1
src-9ec2675726f1c445	0	1	1	1
src-9ec2675726f1c445	1	0	0	0
src-9ec2675726f1c445	1	0	0	0
src-9ec2675726f1c445	1	0	0	0
src-9ec2675726f1c445	1	0	0	0
src-9ec2675726f1c445	1	0	1	0
src-9ec2675726f1c445	1	0	1	0
src-9ec2675726f1c445	1	0	1	0
src-9ec2675726f1c445	1	0	1	0
src-9ec2675726f1c445	1	0	0	1
src-9ec2675726f1c445	1	0	0	1
src-9ec2675726f1c445	1	0	0	1
src-9ec2675726f1c445	1	0	0	1
src-9ec2675726f1c445	1	0	1	1
src-9ec2675726f1c445	1	0	1	1
src-9ec2675726f1c445	1	0	1	1
src-9ec2675726f1c445	1	0	1	1
src-9ec2675726f1c445	1	1	0	0
src-9ec2675726f1c445	1	1	0	0
src-9ec2675726f1c445	1	1	0	0
src-9ec2675726f1c445	1	1	0	0
src-9ec2675726f1c445	1	1	1	0
src-9ec2675726f1c445	1	1	1	0
src-9ec2675726f1c445	1	1	1	0
src-9ec2675726f1c445	1	1	1	0
src-9ec2675726f1c445	1	1	0	1
src-9ec2675726f1c445	1	1	0	1
src-9ec2675726f1c445	1	1	0	1
src-9ec2675726f1c445	1	1	0	1
src-9ec2675726f1c445	1	1	1	1
src-9ec2675726f1c445	1	1	1	1
src-9ec2675726f1c445	1	1	1	1
src-9ec2675726f1c445	1	1	1	1
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	0
src-b5d70477f00ce3f6	0	0	0	1
src-b5d70477f00ce3f6	0	1	0	0
src-b5d70477f00ce3f6	0	1	0	0
src-b5d70477f00ce3f6	0	1	0	1
src-b5d70477f00ce3f6	0	1	0	1
src-b5d70477f00ce3f6	0	1	0	1
src-b5d70477f00ce3f6	0	1	0	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-b5d70477f00ce3f6	1	1	1	1
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	0	0
src-bc7ff4b7cc12163d	0	0	1	0
src-bc7ff4b7cc12163d	0	0	1	0
src-bc7ff4b7cc12163d	0	0	1	0
src-bc7ff4b7cc12163d	0	0	1	0
src-bc7ff4b7cc12163d	0	0	1	0
src-bc7ff4b7cc12163d	0	0	1	0
src-bc7ff4b7cc12163d	0	0	1	0
src-bc7ff4b7cc12163d	0	0	1	0
src-bc7ff4b7cc12163d	0	0	1	0
src-bc7ff4b7cc12163d	0	0	1	0
src-bc7ff4b7cc12163d	0	0	1	0
src-bc7ff4b7cc12163d	0	0	1	0
src-bc7ff4b7cc12163d	0	0	0	1
src-bc7ff4b7cc12163d	0	0	0	1
src-bc7ff4b7cc12163d	0	0	0	1
src-bc7ff4b7cc12163d	0	0	0	1
src-bc7ff4b7cc12163d	0	0	0	1
src-bc7ff4b7cc12163d	0	0	0	1
src-bc7ff4b7cc12163d	0	0	0	1
src-bc7ff4b7cc12163d	0	0	0	1
src-bc7ff4b7cc12163d	0	0	0	1
src-bc7ff4b7cc12163d	0	0	0	1
src-bc7ff4b7cc12163d	0	0	0	1
src-bc7ff4b7cc12163d	0	0	0	1
src-bc7ff4b7cc12163d	0	0	1	1
src-bc7ff4b7cc12163d	0	0	1	1
src-bc7ff4b7cc12163d	0	0	1	1
src-bc7ff4b7cc12163d	0	0	1	1
src-bc7ff4b7cc12163d	0	1	0	0
src-bc7ff4b7cc12163d	0	1	0	0
src-bc7ff4b7cc12163d	0	1	0	0
src-bc7ff4b7cc12163d	0	1	0	0
src-bc7ff4b7cc12163d	0	1	0	0
src-bc7ff4b7cc12163d	0	1	0	0
src-bc7ff4b7cc12163d	0	1	0	0
