pair_label,eta_i_label,eta_j_label,N,flux_estimate,target_Phi_ij,abs_error,rel_error,rate_between_N_doublings,stokes_residual,stokes_abs_residual
3*pi/8->5*pi/12,3*pi/8,5*pi/12,2,-0.9992283979563337,-0.9985151545442881,0.0007132434120455944,0.0007143040431580743,,-0.9992283979563337,0.9992283979563337
3*pi/8->5*pi/12,3*pi/8,5*pi/12,4,-0.9986933985580967,-0.9985151545442881,0.000178244013808615,0.0001785090721932645,2.0005408905977498,-0.9986933985580967,0.9986933985580967
3*pi/8->5*pi/12,3*pi/8,5*pi/12,8,-0.9985597113720588,-0.9985151545442881,4.4556827770714236e-05,4.462308615741491e-05,2.0001351970717165,-0.21260234917703213,0.21260234917703213
3*pi/8->5*pi/12,3*pi/8,5*pi/12,16,-0.9985262934902781,-0.9985151545442881,1.113894599003018e-05,1.11555101986548e-05,2.0000337976934515,-0.04656828005695668,0.04656828005695668
3*pi/8->5*pi/12,3*pi/8,5*pi/12,32,-0.9985179392644762,-0.9985151545442881,2.7847201881092687e-06,2.788861216012476e-06,2.0000084494733836,-0.011212420598366912,0.011212420598366912
3*pi/8->5*pi/12,3*pi/8,5*pi/12,64,-0.9985158507233161,-0.9985151545442881,6.961790279813584e-07,6.972142834417844e-07,2.000002111772139,-0.002776163817657107,0.002776163817657107
pi/12->pi/4,pi/12,pi/4,2,-5.5040566619691145,-5.441398092702653,0.0626585692664614,0.011515159927462673,,-5.5040566619691145,5.5040566619691145
pi/12->pi/4,pi/12,pi/4,4,-5.456968694219566,-5.441398092702653,0.01557060151691303,0.0028615075117908472,2.0086871487880584,-2.315376040629773,2.315376040629773
pi/12->pi/4,pi/12,pi/4,8,-5.4452849053607055,-5.441398092702653,0.003886812658052463,0.0007143040431585014,2.0021652016163265,0.2645101261974183,0.2645101261974183
pi/12->pi/4,pi/12,pi/4,16,-5.442369431627618,-5.441398092702653,0.0009713389249652593,0.00017850907219376248,2.000540890594588,0.06837460775870063,0.06837460775870063
pi/12->pi/4,pi/12,pi/4,32,-5.4416409046785645,-5.441398092702653,0.0002428119759114722,4.4623086158151586e-05,2.000135197051924,0.017204740031766086,0.017204740031766086
pi/12->pi/4,pi/12,pi/4,64,-5.441458794274572,-5.441398092702653,6.0701571919175024e-05,1.115551019885508e-05,2.000033797691367,0.00430766088986001,0.00430766088986001
pi/12->pi/8,pi/12,pi/8,2,-0.9992283979563331,-0.9985151545442873,0.0007132434120458164,0.0007143040431582973,,-0.9992283979563331,0.9992283979563331
pi/12->pi/8,pi/12,pi/8,4,-0.9986933985580961,-0.9985151545442873,0.00017824401380883703,0.000178509072193487,2.0005408905964015,-0.9986933985580961,0.9986933985580961
pi/12->pi/8,pi/12,pi/8,8,-0.9985597113720583,-0.9985151545442873,4.45568277710473e-05,4.4623086157748514e-05,2.0001351970627295,-0.2126023491770317,0.2126023491770317
pi/12->pi/8,pi/12,pi/8,16,-0.9985262934902777,-0.9985151545442873,1.1138945990363247e-05,1.1155510198988372e-05,2.000033797661098,-0.04656828005695712,0.04656828005695712
pi/12->pi/8,pi/12,pi/8,32,-0.998517939264476,-0.9985151545442873,2.78472018866438e-06,2.788861216568415e-06,2.000008449228932,-0.011212420598367578,0.011212420598367578
pi/12->pi/8,pi/12,pi/8,64,-0.9985158507233153,-0.9985151545442873,6.961790279813584e-07,6.97214283441785e-07,2.000002112059729,-0.002776163817657218,0.002776163817657218
pi/3->3*pi/8,pi/3,3*pi/8,2,-1.3022198014801636,-1.3012902845685737,0.0009295169115899338,0.0007143040431582899,,-1.3022198014801636,1.3022198014801636
pi/3->3*pi/8,pi/3,3*pi/8,4,-1.3015225766899265,-1.3012902845685737,0.000232292121352895,0.00017850907219361015,2.0005408905953916,-1.3015225766899265,1.3015225766899265
pi/3->3*pi/8,pi/3,3*pi/8,8,-1.3013483521570584,-1.3012902845685737,5.8067588484700394e-05,4.462308615786828e-05,2.0001351970598527,-0.08669155480040769,0.08669155480040769
pi/3->3*pi/8,pi/3,3*pi/8,16,-1.3013048011256152,-1.3012902845685737,1.4516557041543976e-05,1.1155510199138048e-05,2.0000337976456124,-0.01003191002252013,0.01003191002252013
pi/3->3*pi/8,pi/3,3*pi/8,32,-1.3012939136865798,-1.3012902845685737,3.629118006109877e-06,2.7888612165525124e-06,2.0000084492565158,-0.001919917577472452,0.001919917577472452
pi/3->3*pi/8,pi/3,3*pi/8,64,-1.301291191846746,-1.3012902845685737,9.072781723684642e-07,6.972142827219069e-07,2.0000021135410933,-0.00044524138461454754,0.00044524138461454754
pi/4->pi/3,pi/4,pi/3,2,-3.1505823445670265,-3.1415926535897922,0.008989690977234233,0.0028615075117908793,,9.415788269792145,9.415788269792145
pi/4->pi/3,pi/4,pi/3,4,-3.1438367059242074,-3.1415926535897922,0.0022440523344151586,0.0007143040431581591,2.0021652016170344,6.280941254845172,6.280941254845172
pi/4->pi/3,pi/4,pi/3,8,-3.1421534563795945,-3.1415926535897922,0.000560802789802306,0.00017850907219352436,2.0005408905958206,0.5670274156268533,0.5670274156268533
pi/4->pi/3,pi/4,pi/3,16,-3.1417328411494454,-3.1415926535897922,0.00014018755965317098,4.462308615758424e-05,2.0001351970683423,0.1257802937004575,0.1257802937004575
pi/4->pi/3,pi/4,pi/3,32,-3.1416276996586796,-3.1415926535897922,3.504606888737882e-05,1.1155510198730844e-05,2.000033797689091,0.03053843027643488,0.03053843027643488
pi/4->pi/3,pi/4,pi/3,64,-3.1416014150557015,-3.1415926535897922,8.761465909223887e-06,2.7888612163682184e-06,2.0000084492991905,0.0075794027409408216,0.0075794027409408216
pi/6->5*pi/12,pi/6,5*pi/12,2,-8.807626093104854,-8.582990746292447,0.22463534681240738,0.026172152977031,,3.758744521254318,3.758744521254318
pi/6->5*pi/12,pi/6,5*pi/12,4,-8.638390027412651,-8.582990746292447,0.05539928112020398,0.006454542799563723,2.01964579588489,3.9279805869465214,3.9279805869465214
pi/6->5*pi/12,pi/6,5*pi/12,8,-8.596793818318492,-8.582990746292447,0.013803072026044916,0.0016081890839748792,2.0048778650513404,0.8221820852460819,0.8221820852460819
pi/6->5*pi/12,pi/6,5*pi/12,16,-8.586438603669224,-8.582990746292447,0.003447857376777108,0.00040170815496526807,2.001217387841531,0.19181857056699947,0.19181857056699947
pi/6->5*pi/12,pi/6,5*pi/12,32,-8.583852528895608,-8.582990746292447,0.0008617826031613873,0.00010040586418360609,2.0003042173774404,0.047159245749838874,0.047159245749838874
pi/6->5*pi/12,pi/6,5*pi/12,64,-8.58320618058713,-8.582990746292447,0.000215434294682737,2.5100142951429503e-05,2.0000760462412255,0.011741092373945605,0.011741092373945605
pi/6->pi/4,pi/6,pi/4,2,-3.1505823445670273,-3.141592653589793,0.008989690977234233,0.0028615075117908785,,-3.1505823445670273,3.1505823445670273
pi/6->pi/4,pi/6,pi/4,4,-3.143836705924209,-3.141592653589793,0.002244052334416047,0.0007143040431584417,2.0021652016164633,-0.002244052334416047,0.002244052334416047
pi/6->pi/4,pi/6,pi/4,8,-3.1421534563795954,-3.141592653589793,0.000560802789802306,0.00017850907219352433,2.0005408905963917,0.5670274156268529,0.5670274156268529
pi/6->pi/4,pi/6,pi/4,16,-3.141732841149447,-3.141592653589793,0.00014018755965405916,4.4623086157866936e-05,2.000135197059202,0.12578029370045662,0.12578029370045662
pi/6->pi/4,pi/6,pi/4,32,-3.141627699658681,-3.141592653589793,3.504606888782291e-05,1.1155510198872198e-05,2.0000337976799503,0.030538430276434436,0.030538430276434436
pi/6->pi/4,pi/6,pi/4,64,-3.1416014150557023,-3.141592653589793,8.761465909223887e-06,2.7888612163682175e-06,2.0000084493174715,0.0075794027409408216,0.0075794027409408216
pi/8->3*pi/8,pi/8,3*pi/8,2,-9.118325500149774,-8.885765876316732,0.2325596238330423,0.02617215297703087,,3.448045114209398,3.448045114209398
pi/8->3*pi/8,pi/8,3*pi/8,4,-8.943119432472322,-8.885765876316732,0.05735355615559001,0.006454542799563814,2.0196457958848626,3.6232511818868502,3.6232511818868502
pi/8->3*pi/8,pi/8,3*pi/8,8,-8.90005586800178,-8.885765876316732,0.01428999168504852,0.00160818908397482,2.004877865051414,0.9476194707244154,0.9476194707244154
pi/8->3*pi/8,pi/8,3*pi/8,16,-8.889335360932359,-8.885765876316732,0.0035694846156264504,0.0004017081549650337,2.0012173878423196,0.2282366909736364,0.2282366909736364
pi/8->3*pi/8,pi/8,3*pi/8,32,-8.886658059318476,-8.885765876316732,0.0008921830017438737,0.00010040586418350416,2.000304217378063,0.05642219276996663,0.05642219276996663
pi/8->3*pi/8,pi/8,3*pi/8,64,-8.885988910310461,-8.885765876316732,0.00022303399372880506,2.510014295146561e-05,2.000076046237685,0.014064626207085595,0.014064626207085595
pi/8->pi/6,pi/8,pi/6,2,-1.3022198014801623,-1.3012902845685725,0.0009295169115897117,0.0007143040431581199,,-1.3022198014801623,1.3022198014801623
