slot_id,engine,loop,step,terrain,nickname,axis6_sign,operator,candidate_word,formal_schedule,is_source_canonical,canonical_token,canonical_math,igt_quadrant,canonical_result_label,claim_ceiling
T1-O1,Type1_left,outer_deductive,1,Se-in,Funnel,up,Ti,TiSe,Φ_Se-in(Ti(ρ)),True,TiSe,Φ_Se-in(Ti(ρ)),LoseWin,LOSE,source_schedule_table; dynamic distinctness separate
T1-O1,Type1_left,outer_deductive,1,Se-in,Funnel,up,Te,TeSe,Φ_Se-in(Te(ρ)),False,TiSe,Φ_Se-in(Ti(ρ)),LoseWin,LOSE,source_schedule_table; dynamic distinctness separate
T1-O1,Type1_left,outer_deductive,1,Se-in,Funnel,up,Fi,FiSe,Φ_Se-in(Fi(ρ)),False,TiSe,Φ_Se-in(Ti(ρ)),LoseWin,LOSE,source_schedule_table; dynamic distinctness separate
T1-O1,Type1_left,outer_deductive,1,Se-in,Funnel,up,Fe,FeSe,Φ_Se-in(Fe(ρ)),False,TiSe,Φ_Se-in(Ti(ρ)),LoseWin,LOSE,source_schedule_table; dynamic distinctness separate
T1-O2,Type1_left,outer_deductive,2,Ne-in,Vortex,down,Ti,NeTi,Ti(Φ_Ne-in(ρ)),True,NeTi,Ti(Φ_Ne-in(ρ)),WinLose,WIN,source_schedule_table; dynamic distinctness separate
T1-O2,Type1_left,outer_deductive,2,Ne-in,Vortex,down,Te,NeTe,Te(Φ_Ne-in(ρ)),False,NeTi,Ti(Φ_Ne-in(ρ)),WinLose,WIN,source_schedule_table; dynamic distinctness separate
T1-O2,Type1_left,outer_deductive,2,Ne-in,Vortex,down,Fi,NeFi,Fi(Φ_Ne-in(ρ)),False,NeTi,Ti(Φ_Ne-in(ρ)),WinLose,WIN,source_schedule_table; dynamic distinctness separate
T1-O2,Type1_left,outer_deductive,2,Ne-in,Vortex,down,Fe,NeFe,Fe(Φ_Ne-in(ρ)),False,NeTi,Ti(Φ_Ne-in(ρ)),WinLose,WIN,source_schedule_table; dynamic distinctness separate
T1-O3,Type1_left,outer_deductive,3,Ni-in,Pit,down,Ti,NiTi,Ti(Φ_Ni-in(ρ)),False,NiFe,Fe(Φ_Ni-in(ρ)),LoseLose,LOSE,source_schedule_table; dynamic distinctness separate
T1-O3,Type1_left,outer_deductive,3,Ni-in,Pit,down,Te,NiTe,Te(Φ_Ni-in(ρ)),False,NiFe,Fe(Φ_Ni-in(ρ)),LoseLose,LOSE,source_schedule_table; dynamic distinctness separate
T1-O3,Type1_left,outer_deductive,3,Ni-in,Pit,down,Fi,NiFi,Fi(Φ_Ni-in(ρ)),False,NiFe,Fe(Φ_Ni-in(ρ)),LoseLose,LOSE,source_schedule_table; dynamic distinctness separate
T1-O3,Type1_left,outer_deductive,3,Ni-in,Pit,down,Fe,NiFe,Fe(Φ_Ni-in(ρ)),True,NiFe,Fe(Φ_Ni-in(ρ)),LoseLose,LOSE,source_schedule_table; dynamic distinctness separate
T1-O4,Type1_left,outer_deductive,4,Si-in,Hill,up,Ti,TiSi,Φ_Si-in(Ti(ρ)),False,FeSi,Φ_Si-in(Fe(ρ)),WinWin,WIN,source_schedule_table; dynamic distinctness separate
T1-O4,Type1_left,outer_deductive,4,Si-in,Hill,up,Te,TeSi,Φ_Si-in(Te(ρ)),False,FeSi,Φ_Si-in(Fe(ρ)),WinWin,WIN,source_schedule_table; dynamic distinctness separate
T1-O4,Type1_left,outer_deductive,4,Si-in,Hill,up,Fi,FiSi,Φ_Si-in(Fi(ρ)),False,FeSi,Φ_Si-in(Fe(ρ)),WinWin,WIN,source_schedule_table; dynamic distinctness separate
T1-O4,Type1_left,outer_deductive,4,Si-in,Hill,up,Fe,FeSi,Φ_Si-in(Fe(ρ)),True,FeSi,Φ_Si-in(Fe(ρ)),WinWin,WIN,source_schedule_table; dynamic distinctness separate
T1-I1,Type1_left,inner_inductive,1,Se-in,Funnel,down,Ti,SeTi,Ti(Φ_Se-in(ρ)),False,SeFi,Fi(Φ_Se-in(ρ)),LoseWin,win,source_schedule_table; dynamic distinctness separate
T1-I1,Type1_left,inner_inductive,1,Se-in,Funnel,down,Te,SeTe,Te(Φ_Se-in(ρ)),False,SeFi,Fi(Φ_Se-in(ρ)),LoseWin,win,source_schedule_table; dynamic distinctness separate
T1-I1,Type1_left,inner_inductive,1,Se-in,Funnel,down,Fi,SeFi,Fi(Φ_Se-in(ρ)),True,SeFi,Fi(Φ_Se-in(ρ)),LoseWin,win,source_schedule_table; dynamic distinctness separate
T1-I1,Type1_left,inner_inductive,1,Se-in,Funnel,down,Fe,SeFe,Fe(Φ_Se-in(ρ)),False,SeFi,Fi(Φ_Se-in(ρ)),LoseWin,win,source_schedule_table; dynamic distinctness separate
T1-I2,Type1_left,inner_inductive,2,Si-in,Hill,down,Ti,SiTi,Ti(Φ_Si-in(ρ)),False,SiTe,Te(Φ_Si-in(ρ)),WinWin,win,source_schedule_table; dynamic distinctness separate
T1-I2,Type1_left,inner_inductive,2,Si-in,Hill,down,Te,SiTe,Te(Φ_Si-in(ρ)),True,SiTe,Te(Φ_Si-in(ρ)),WinWin,win,source_schedule_table; dynamic distinctness separate
T1-I2,Type1_left,inner_inductive,2,Si-in,Hill,down,Fi,SiFi,Fi(Φ_Si-in(ρ)),False,SiTe,Te(Φ_Si-in(ρ)),WinWin,win,source_schedule_table; dynamic distinctness separate
T1-I2,Type1_left,inner_inductive,2,Si-in,Hill,down,Fe,SiFe,Fe(Φ_Si-in(ρ)),False,SiTe,Te(Φ_Si-in(ρ)),WinWin,win,source_schedule_table; dynamic distinctness separate
